year,age,cohort,sex,race,educ,realinc,gunlaw,grass,wtssall,age2,educ2
1972,70.0,1902.0,1,2,6.0,8122.0,1.0,,0.8893,4900.0,36.0
1972,32.0,1940.0,2,1,16.0,50763.0,1.0,,0.8893,1024.0,256.0
1972,53.0,1919.0,2,2,0.0,,1.0,,0.4446,2809.0,0.0
1972,45.0,1927.0,1,1,10.0,30458.0,1.0,,1.7786,2025.0,100.0
1972,44.0,1928.0,2,1,11.0,24366.0,2.0,,1.7786,1936.0,121.0
1972,36.0,1936.0,2,2,12.0,30458.0,1.0,,0.8893,1296.0,144.0
1972,65.0,1907.0,1,1,7.0,18951.0,2.0,,0.8893,4225.0,49.0
1972,32.0,1940.0,1,1,10.0,30458.0,2.0,,0.8893,1024.0,100.0
1972,26.0,1946.0,2,1,12.0,24366.0,1.0,,0.8893,676.0,144.0
1972,,,1,1,12.0,43994.0,1.0,,0.8893,,144.0
1972,75.0,1897.0,1,1,2.0,8122.0,1.0,,0.8893,5625.0,4.0
1972,27.0,1945.0,2,1,12.0,18951.0,1.0,,0.8893,729.0,144.0
1972,39.0,1933.0,1,1,12.0,43994.0,1.0,,0.8893,1521.0,144.0
1972,42.0,1930.0,2,1,10.0,37226.0,1.0,,0.8893,1764.0,100.0
1972,55.0,1917.0,2,1,8.0,13537.0,1.0,,0.8893,3025.0,64.0
1972,31.0,1941.0,2,1,12.0,50763.0,1.0,,0.8893,961.0,144.0
1972,59.0,1913.0,1,1,8.0,18951.0,2.0,,0.8893,3481.0,64.0
1972,56.0,1916.0,1,1,14.0,60915.0,2.0,,0.8893,3136.0,196.0
1972,27.0,1945.0,2,1,12.0,37226.0,1.0,,0.4446,729.0,144.0
1972,49.0,1923.0,2,2,8.0,13537.0,1.0,,1.3339,2401.0,64.0
1972,52.0,1920.0,2,1,12.0,30458.0,1.0,,0.8893,2704.0,144.0
1972,44.0,1928.0,2,1,14.0,43994.0,1.0,,0.8893,1936.0,196.0
1972,47.0,1925.0,1,2,3.0,13537.0,1.0,,2.6679,2209.0,9.0
1972,49.0,1923.0,2,1,13.0,24366.0,1.0,,0.8893,2401.0,169.0
1972,27.0,1945.0,1,2,13.0,37226.0,1.0,,1.3339,729.0,169.0
1972,20.0,1952.0,2,1,13.0,,1.0,,1.3339,400.0,169.0
1972,44.0,1928.0,2,1,3.0,18951.0,1.0,,0.8893,1936.0,9.0
1972,54.0,1918.0,1,1,16.0,8122.0,1.0,,1.3339,2916.0,256.0
1972,40.0,1932.0,2,2,7.0,18951.0,,,1.3339,1600.0,49.0
1972,29.0,1943.0,2,1,12.0,43994.0,1.0,,1.3339,841.0,144.0
1972,54.0,1918.0,1,1,12.0,60915.0,1.0,,1.3339,2916.0,144.0
1972,64.0,1908.0,1,1,11.0,18951.0,1.0,,1.3339,4096.0,121.0
1972,48.0,1924.0,1,1,12.0,30458.0,2.0,,1.3339,2304.0,144.0
1972,38.0,1934.0,2,1,18.0,37226.0,2.0,,0.4446,1444.0,324.0
1972,19.0,1953.0,1,1,11.0,30458.0,2.0,,1.3339,361.0,121.0
1972,36.0,1936.0,2,1,12.0,50763.0,2.0,,0.8893,1296.0,144.0
1972,55.0,1917.0,1,1,10.0,30458.0,1.0,,0.8893,3025.0,100.0
1972,24.0,1948.0,1,1,12.0,30458.0,1.0,,0.8893,576.0,144.0
1972,58.0,1914.0,2,1,12.0,24366.0,2.0,,1.3339,3364.0,144.0
1972,61.0,1911.0,1,1,17.0,60915.0,1.0,,2.2232,3721.0,289.0
1972,27.0,1945.0,2,2,12.0,8122.0,2.0,,0.4446,729.0,144.0
1972,29.0,1943.0,1,1,12.0,18951.0,2.0,,0.4446,841.0,144.0
1972,74.0,1898.0,1,1,5.0,50763.0,1.0,,1.7786,5476.0,25.0
1972,31.0,1941.0,1,1,15.0,37226.0,1.0,,0.8893,961.0,225.0
1972,20.0,1952.0,1,2,14.0,24366.0,1.0,,1.3339,400.0,196.0
1972,42.0,1930.0,1,1,12.0,18951.0,1.0,,0.8893,1764.0,144.0
1972,49.0,1923.0,2,1,12.0,37226.0,1.0,,0.8893,2401.0,144.0
1972,83.0,1889.0,1,1,8.0,13537.0,1.0,,0.8893,6889.0,64.0
1972,54.0,1918.0,1,1,18.0,109355.0,1.0,,1.3339,2916.0,324.0
1972,19.0,1953.0,1,1,11.0,37226.0,2.0,,1.7786,361.0,121.0
1972,26.0,1946.0,2,2,16.0,18951.0,1.0,,1.3339,676.0,256.0
1972,25.0,1947.0,1,1,12.0,37226.0,1.0,,1.7786,625.0,144.0
1972,45.0,1927.0,1,1,14.0,60915.0,1.0,,0.8893,2025.0,196.0
1972,29.0,1943.0,1,1,10.0,30458.0,1.0,,0.8893,841.0,100.0
1972,21.0,1951.0,1,1,10.0,24366.0,1.0,,0.8893,441.0,100.0
1972,32.0,1940.0,2,1,12.0,30458.0,1.0,,1.3339,1024.0,144.0
1972,56.0,1916.0,1,1,18.0,30458.0,2.0,,1.3339,3136.0,324.0
1972,39.0,1933.0,2,1,12.0,18951.0,1.0,,0.8893,1521.0,144.0
1972,40.0,1932.0,1,1,14.0,43994.0,2.0,,0.8893,1600.0,196.0
1972,69.0,1903.0,1,1,8.0,13537.0,2.0,,0.8893,4761.0,64.0
1972,44.0,1928.0,2,1,3.0,18951.0,1.0,,0.8893,1936.0,9.0
1972,52.0,1920.0,1,1,7.0,13537.0,1.0,,0.8893,2704.0,49.0
1972,24.0,1948.0,1,1,14.0,24366.0,2.0,,0.8893,576.0,196.0
1972,18.0,1954.0,1,1,11.0,109355.0,1.0,,1.3339,324.0,121.0
1972,21.0,1951.0,2,2,14.0,37226.0,1.0,,2.2232,441.0,196.0
1972,64.0,1908.0,1,1,10.0,60915.0,2.0,,0.8893,4096.0,100.0
1972,69.0,1903.0,2,2,6.0,8122.0,1.0,,0.8893,4761.0,36.0
1972,48.0,1924.0,1,1,10.0,43994.0,1.0,,1.7786,2304.0,100.0
1972,22.0,1950.0,2,1,12.0,8122.0,1.0,,1.3339,484.0,144.0
1972,45.0,1927.0,1,1,10.0,30458.0,1.0,,1.7786,2025.0,100.0
1972,38.0,1934.0,2,1,18.0,37226.0,2.0,,0.4446,1444.0,324.0
1972,54.0,1918.0,2,2,11.0,18951.0,1.0,,1.3339,2916.0,121.0
1972,59.0,1913.0,2,1,11.0,109355.0,1.0,,0.8893,3481.0,121.0
1972,33.0,1939.0,2,1,12.0,37226.0,1.0,,0.8893,1089.0,144.0
1972,72.0,1900.0,1,2,5.0,13537.0,1.0,,1.3339,5184.0,25.0
1972,54.0,1918.0,2,1,12.0,37226.0,1.0,,0.8893,2916.0,144.0
1972,74.0,1898.0,2,2,16.0,24366.0,1.0,,0.8893,5476.0,256.0
1972,27.0,1945.0,1,1,16.0,24366.0,1.0,,0.8893,729.0,256.0
1972,42.0,1930.0,1,1,12.0,60915.0,1.0,,0.8893,1764.0,144.0
1972,27.0,1945.0,1,1,16.0,24366.0,1.0,,0.8893,729.0,256.0
1972,31.0,1941.0,1,1,12.0,37226.0,2.0,,0.8893,961.0,144.0
1972,65.0,1907.0,1,1,8.0,8122.0,1.0,,0.4446,4225.0,64.0
1972,32.0,1940.0,2,1,13.0,37226.0,1.0,,0.8893,1024.0,169.0
1972,53.0,1919.0,2,1,16.0,37226.0,1.0,,0.8893,2809.0,256.0
1972,38.0,1934.0,1,1,8.0,30458.0,1.0,,0.8893,1444.0,64.0
1972,65.0,1907.0,1,1,3.0,2707.0,1.0,,1.7786,4225.0,9.0
1972,60.0,1912.0,2,1,8.0,50763.0,,,1.7786,3600.0,64.0
1972,78.0,1894.0,2,1,3.0,37226.0,1.0,,1.3339,6084.0,9.0
1972,39.0,1933.0,1,1,12.0,43994.0,1.0,,0.8893,1521.0,144.0
1972,60.0,1912.0,2,1,13.0,24366.0,1.0,,0.8893,3600.0,169.0
1972,25.0,1947.0,1,1,9.0,30458.0,2.0,,0.8893,625.0,81.0
1972,76.0,1896.0,2,1,10.0,13537.0,1.0,,0.8893,5776.0,100.0
1972,19.0,1953.0,1,1,13.0,30458.0,1.0,,1.3339,361.0,169.0
1972,75.0,1897.0,1,1,2.0,8122.0,1.0,,0.8893,5625.0,4.0
1972,22.0,1950.0,1,1,15.0,18951.0,2.0,,1.3339,484.0,225.0
1972,48.0,1924.0,2,1,12.0,109355.0,1.0,,2.2232,2304.0,144.0
1972,56.0,1916.0,1,2,6.0,13537.0,1.0,,1.3339,3136.0,36.0
1972,37.0,1935.0,2,2,10.0,24366.0,1.0,,0.8893,1369.0,100.0
1972,22.0,1950.0,2,2,13.0,74452.0,2.0,,2.6679,484.0,169.0
1972,43.0,1929.0,1,1,11.0,24366.0,1.0,,1.3339,1849.0,121.0
1972,47.0,1925.0,2,1,12.0,,1.0,,0.8893,2209.0,144.0
1972,36.0,1936.0,2,1,14.0,24366.0,1.0,,0.8893,1296.0,196.0
1972,34.0,1938.0,1,1,14.0,,1.0,,0.8893,1156.0,196.0
1972,48.0,1924.0,1,1,15.0,109355.0,1.0,,1.3339,2304.0,225.0
1972,34.0,1938.0,1,1,10.0,24366.0,2.0,,0.8893,1156.0,100.0
1972,68.0,1904.0,2,1,10.0,8122.0,1.0,,0.4446,4624.0,100.0
1972,42.0,1930.0,2,1,16.0,60915.0,1.0,,0.8893,1764.0,256.0
1972,31.0,1941.0,1,1,9.0,18951.0,2.0,,0.8893,961.0,81.0
1972,55.0,1917.0,1,1,11.0,24366.0,1.0,,1.3339,3025.0,121.0
1972,26.0,1946.0,2,1,12.0,18951.0,1.0,,0.8893,676.0,144.0
1972,52.0,1920.0,2,2,12.0,8122.0,,,1.7786,2704.0,144.0
1972,41.0,1931.0,1,1,12.0,13537.0,2.0,,0.8893,1681.0,144.0
1972,31.0,1941.0,2,1,20.0,18951.0,1.0,,0.8893,961.0,400.0
1972,65.0,1907.0,2,1,12.0,43994.0,1.0,,0.8893,4225.0,144.0
1972,60.0,1912.0,1,1,12.0,,2.0,,1.3339,3600.0,144.0
1972,30.0,1942.0,1,2,15.0,18951.0,2.0,,1.3339,900.0,225.0
1972,49.0,1923.0,2,1,11.0,37226.0,2.0,,0.8893,2401.0,121.0
1972,19.0,1953.0,1,1,12.0,43994.0,1.0,,1.3339,361.0,144.0
1972,31.0,1941.0,2,1,16.0,50763.0,1.0,,0.8893,961.0,256.0
1972,35.0,1937.0,2,1,11.0,37226.0,1.0,,0.8893,1225.0,121.0
1972,63.0,1909.0,2,1,8.0,18951.0,2.0,,0.8893,3969.0,64.0
1972,47.0,1925.0,2,1,12.0,60915.0,1.0,,0.8893,2209.0,144.0
1972,53.0,1919.0,2,2,0.0,,1.0,,0.4446,2809.0,0.0
1972,44.0,1928.0,1,1,7.0,43994.0,2.0,,1.7786,1936.0,49.0
1972,41.0,1931.0,1,1,17.0,109355.0,1.0,,0.8893,1681.0,289.0
1972,24.0,1948.0,2,1,16.0,60915.0,1.0,,1.7786,576.0,256.0
1972,40.0,1932.0,2,1,12.0,50763.0,1.0,,1.3339,1600.0,144.0
1972,,,2,1,13.0,37226.0,,,0.8893,,169.0
1972,21.0,1951.0,2,1,14.0,50763.0,1.0,,1.7786,441.0,196.0
1972,30.0,1942.0,2,1,16.0,13537.0,1.0,,0.8893,900.0,256.0
1972,70.0,1902.0,1,1,9.0,2707.0,1.0,,1.3339,4900.0,81.0
1972,77.0,1895.0,1,2,4.0,2707.0,1.0,,0.8893,5929.0,16.0
1972,42.0,1930.0,2,1,12.0,30458.0,2.0,,0.8893,1764.0,144.0
1972,82.0,1890.0,2,1,8.0,2707.0,,,0.4446,6724.0,64.0
1972,63.0,1909.0,1,1,12.0,18951.0,1.0,,0.8893,3969.0,144.0
1972,48.0,1924.0,2,1,12.0,50763.0,1.0,,1.7786,2304.0,144.0
1972,63.0,1909.0,2,1,8.0,2707.0,1.0,,0.8893,3969.0,64.0
1972,48.0,1924.0,1,1,12.0,30458.0,2.0,,1.3339,2304.0,144.0
1972,31.0,1941.0,1,1,12.0,37226.0,2.0,,0.8893,961.0,144.0
1972,34.0,1938.0,1,2,16.0,,1.0,,0.8893,1156.0,256.0
1972,39.0,1933.0,2,1,12.0,43994.0,1.0,,1.3339,1521.0,144.0
1972,20.0,1952.0,2,1,12.0,37226.0,1.0,,1.3339,400.0,144.0
1972,35.0,1937.0,1,1,12.0,24366.0,2.0,,0.8893,1225.0,144.0
1972,28.0,1944.0,1,1,8.0,24366.0,2.0,,1.7786,784.0,64.0
1972,32.0,1940.0,1,1,17.0,109355.0,2.0,,0.8893,1024.0,289.0
1972,57.0,1915.0,2,1,7.0,2707.0,1.0,,1.3339,3249.0,49.0
1972,53.0,1919.0,2,1,12.0,13537.0,1.0,,0.8893,2809.0,144.0
1972,56.0,1916.0,1,1,12.0,74452.0,1.0,,0.8893,3136.0,144.0
1972,78.0,1894.0,1,1,0.0,8122.0,1.0,,0.8893,6084.0,0.0
1972,43.0,1929.0,1,1,12.0,109355.0,1.0,,1.3339,1849.0,144.0
1972,23.0,1949.0,1,1,12.0,,1.0,,2.2232,529.0,144.0
1972,63.0,1909.0,2,1,11.0,24366.0,1.0,,0.8893,3969.0,121.0
1972,65.0,1907.0,2,1,12.0,50763.0,1.0,,1.3339,4225.0,144.0
1972,30.0,1942.0,1,1,12.0,30458.0,2.0,,0.8893,900.0,144.0
1972,53.0,1919.0,2,1,11.0,13537.0,1.0,,0.4446,2809.0,121.0
1972,34.0,1938.0,1,1,12.0,24366.0,1.0,,1.3339,1156.0,144.0
1972,21.0,1951.0,1,1,13.0,,2.0,,1.7786,441.0,169.0
1972,19.0,1953.0,1,1,10.0,2707.0,2.0,,1.3339,361.0,100.0
1972,23.0,1949.0,2,1,16.0,,1.0,,3.5571,529.0,256.0
1972,41.0,1931.0,1,1,12.0,13537.0,2.0,,0.8893,1681.0,144.0
1972,30.0,1942.0,1,2,7.0,2707.0,1.0,,0.8893,900.0,49.0
1972,53.0,1919.0,2,1,12.0,37226.0,1.0,,1.3339,2809.0,144.0
1972,23.0,1949.0,2,1,10.0,18951.0,1.0,,0.8893,529.0,100.0
1972,74.0,1898.0,2,1,3.0,8122.0,1.0,,1.3339,5476.0,9.0
1972,52.0,1920.0,1,1,12.0,30458.0,2.0,,1.3339,2704.0,144.0
1972,30.0,1942.0,1,1,12.0,18951.0,2.0,,1.7786,900.0,144.0
1972,50.0,1922.0,1,1,12.0,30458.0,1.0,,0.8893,2500.0,144.0
1972,64.0,1908.0,2,1,11.0,18951.0,1.0,,1.7786,4096.0,121.0
1972,48.0,1924.0,2,1,15.0,74452.0,1.0,,0.8893,2304.0,225.0
1972,52.0,1920.0,1,1,8.0,30458.0,1.0,,1.3339,2704.0,64.0
1972,34.0,1938.0,1,1,14.0,37226.0,1.0,,0.8893,1156.0,196.0
1972,33.0,1939.0,2,1,12.0,30458.0,2.0,,0.8893,1089.0,144.0
1972,33.0,1939.0,2,1,12.0,37226.0,1.0,,0.8893,1089.0,144.0
1972,51.0,1921.0,2,1,14.0,,1.0,,0.4446,2601.0,196.0
1972,39.0,1933.0,1,2,12.0,37226.0,2.0,,0.8893,1521.0,144.0
1972,43.0,1929.0,1,1,18.0,,2.0,,0.8893,1849.0,324.0
1972,45.0,1927.0,1,1,10.0,30458.0,1.0,,1.7786,2025.0,100.0
1972,54.0,1918.0,1,1,12.0,37226.0,1.0,,1.7786,2916.0,144.0
1972,44.0,1928.0,1,2,2.0,13537.0,2.0,,0.8893,1936.0,4.0
1972,29.0,1943.0,2,1,12.0,37226.0,1.0,,0.8893,841.0,144.0
1972,57.0,1915.0,1,1,4.0,8122.0,1.0,,1.3339,3249.0,16.0
1972,28.0,1944.0,2,1,18.0,13537.0,1.0,,1.3339,784.0,324.0
1972,63.0,1909.0,2,1,8.0,18951.0,2.0,,0.8893,3969.0,64.0
1972,58.0,1914.0,1,1,11.0,60915.0,2.0,,0.8893,3364.0,121.0
1972,60.0,1912.0,1,1,8.0,24366.0,1.0,,0.8893,3600.0,64.0
1972,52.0,1920.0,1,1,12.0,24366.0,2.0,,0.8893,2704.0,144.0
1972,24.0,1948.0,1,1,11.0,24366.0,1.0,,0.8893,576.0,121.0
1972,57.0,1915.0,2,1,13.0,30458.0,2.0,,0.8893,3249.0,169.0
1972,49.0,1923.0,1,2,12.0,37226.0,1.0,,1.7786,2401.0,144.0
1972,43.0,1929.0,2,1,13.0,37226.0,2.0,,1.3339,1849.0,169.0
1972,58.0,1914.0,2,1,12.0,24366.0,2.0,,1.3339,3364.0,144.0
1972,38.0,1934.0,2,1,12.0,18951.0,2.0,,0.8893,1444.0,144.0
1972,30.0,1942.0,2,1,12.0,37226.0,1.0,,0.8893,900.0,144.0
1972,78.0,1894.0,2,1,8.0,8122.0,1.0,,1.3339,6084.0,64.0
1972,49.0,1923.0,2,1,12.0,8122.0,1.0,,0.8893,2401.0,144.0
1972,45.0,1927.0,1,1,12.0,43994.0,2.0,,0.8893,2025.0,144.0
1972,45.0,1927.0,1,1,10.0,,1.0,,1.3339,2025.0,100.0
1972,34.0,1938.0,1,1,17.0,37226.0,2.0,,0.8893,1156.0,289.0
1972,61.0,1911.0,2,1,8.0,13537.0,2.0,,0.8893,3721.0,64.0
1972,19.0,1953.0,1,1,12.0,30458.0,2.0,,1.3339,361.0,144.0
1972,53.0,1919.0,2,1,12.0,37226.0,1.0,,1.3339,2809.0,144.0
1972,32.0,1940.0,1,2,20.0,74452.0,1.0,,0.8893,1024.0,400.0
1972,29.0,1943.0,2,1,12.0,18951.0,1.0,,0.8893,841.0,144.0
1972,61.0,1911.0,2,2,9.0,2707.0,1.0,,0.8893,3721.0,81.0
1972,56.0,1916.0,1,1,12.0,24366.0,1.0,,0.8893,3136.0,144.0
1972,30.0,1942.0,1,1,9.0,30458.0,2.0,,0.8893,900.0,81.0
1972,42.0,1930.0,2,1,11.0,2707.0,1.0,,0.4446,1764.0,121.0
1972,46.0,1926.0,1,1,8.0,30458.0,2.0,,1.7786,2116.0,64.0
1972,45.0,1927.0,1,1,17.0,37226.0,2.0,,1.3339,2025.0,289.0
1972,38.0,1934.0,1,1,14.0,60915.0,,,0.8893,1444.0,196.0
1972,34.0,1938.0,1,2,16.0,,1.0,,0.8893,1156.0,256.0
1972,75.0,1897.0,1,1,8.0,8122.0,2.0,,0.4446,5625.0,64.0
1972,47.0,1925.0,2,1,12.0,18951.0,1.0,,0.4446,2209.0,144.0
1972,56.0,1916.0,2,1,8.0,43994.0,1.0,,1.3339,3136.0,64.0
1972,35.0,1937.0,2,1,16.0,,1.0,,0.8893,1225.0,256.0
1972,56.0,1916.0,1,1,12.0,,1.0,,1.7786,3136.0,144.0
1972,53.0,1919.0,1,2,7.0,13537.0,2.0,,0.4446,2809.0,49.0
1972,32.0,1940.0,1,1,13.0,24366.0,2.0,,0.8893,1024.0,169.0
1972,78.0,1894.0,2,1,9.0,,1.0,,0.4446,6084.0,81.0
1972,60.0,1912.0,1,2,12.0,24366.0,1.0,,0.8893,3600.0,144.0
1972,27.0,1945.0,2,1,12.0,37226.0,1.0,,0.8893,729.0,144.0
1972,33.0,1939.0,2,1,12.0,30458.0,1.0,,0.8893,1089.0,144.0
1972,81.0,1891.0,2,1,5.0,2707.0,1.0,,1.7786,6561.0,25.0
1972,78.0,1894.0,2,1,3.0,37226.0,1.0,,1.3339,6084.0,9.0
1972,42.0,1930.0,2,1,3.0,8122.0,1.0,,0.8893,1764.0,9.0
1972,52.0,1920.0,2,1,8.0,,1.0,,0.8893,2704.0,64.0
1972,36.0,1936.0,2,2,11.0,8122.0,1.0,,0.4446,1296.0,121.0
1972,58.0,1914.0,2,1,12.0,18951.0,1.0,,1.3339,3364.0,144.0
1972,45.0,1927.0,2,1,11.0,109355.0,1.0,,2.2232,2025.0,121.0
1972,82.0,1890.0,2,1,9.0,2707.0,1.0,,0.8893,6724.0,81.0
1972,60.0,1912.0,1,1,12.0,,2.0,,1.3339,3600.0,144.0
1972,42.0,1930.0,2,1,12.0,37226.0,1.0,,0.8893,1764.0,144.0
1972,45.0,1927.0,1,1,11.0,30458.0,2.0,,1.3339,2025.0,121.0
1972,34.0,1938.0,2,1,11.0,8122.0,1.0,,0.8893,1156.0,121.0
1972,74.0,1898.0,2,1,18.0,30458.0,1.0,,0.8893,5476.0,324.0
1972,68.0,1904.0,1,2,12.0,8122.0,1.0,,1.3339,4624.0,144.0
1972,23.0,1949.0,2,1,12.0,18951.0,1.0,,0.8893,529.0,144.0
1972,48.0,1924.0,2,1,12.0,50763.0,1.0,,1.7786,2304.0,144.0
1972,37.0,1935.0,2,1,15.0,37226.0,1.0,,0.8893,1369.0,225.0
1972,35.0,1937.0,1,1,12.0,24366.0,2.0,,0.8893,1225.0,144.0
1972,70.0,1902.0,2,2,6.0,8122.0,2.0,,0.8893,4900.0,36.0
1972,56.0,1916.0,1,2,12.0,2707.0,2.0,,1.7786,3136.0,144.0
1972,63.0,1909.0,1,1,16.0,74452.0,1.0,,1.3339,3969.0,256.0
1972,56.0,1916.0,2,1,8.0,18951.0,,,0.8893,3136.0,64.0
1972,56.0,1916.0,2,1,14.0,60915.0,1.0,,1.7786,3136.0,196.0
1972,33.0,1939.0,1,1,10.0,37226.0,1.0,,0.8893,1089.0,100.0
1972,27.0,1945.0,2,1,12.0,30458.0,1.0,,0.8893,729.0,144.0
1972,27.0,1945.0,1,1,16.0,24366.0,1.0,,0.8893,729.0,256.0
1972,23.0,1949.0,2,2,13.0,24366.0,1.0,,0.8893,529.0,169.0
1972,59.0,1913.0,2,2,9.0,8122.0,1.0,,0.8893,3481.0,81.0
1972,52.0,1920.0,1,1,8.0,43994.0,2.0,,0.8893,2704.0,64.0
1972,74.0,1898.0,2,1,8.0,8122.0,1.0,,0.8893,5476.0,64.0
1972,22.0,1950.0,2,1,12.0,24366.0,1.0,,0.8893,484.0,144.0
1972,49.0,1923.0,2,1,7.0,13537.0,2.0,,0.8893,2401.0,49.0
1972,24.0,1948.0,1,1,13.0,18951.0,2.0,,0.8893,576.0,169.0
1972,61.0,1911.0,1,1,8.0,30458.0,1.0,,0.8893,3721.0,64.0
1972,19.0,1953.0,1,1,13.0,30458.0,1.0,,1.3339,361.0,169.0
1972,64.0,1908.0,1,1,15.0,18951.0,1.0,,0.8893,4096.0,225.0
1972,72.0,1900.0,2,2,12.0,8122.0,,,0.8893,5184.0,144.0
1972,52.0,1920.0,2,1,10.0,24366.0,1.0,,1.3339,2704.0,100.0
1972,68.0,1904.0,2,1,13.0,13537.0,2.0,,0.4446,4624.0,169.0
1972,23.0,1949.0,1,1,12.0,,1.0,,2.2232,529.0,144.0
1972,25.0,1947.0,2,1,12.0,30458.0,1.0,,0.8893,625.0,144.0
1972,57.0,1915.0,2,1,11.0,60915.0,1.0,,0.8893,3249.0,121.0
1972,26.0,1946.0,2,1,12.0,13537.0,1.0,,0.4446,676.0,144.0
1972,57.0,1915.0,2,1,11.0,60915.0,1.0,,0.8893,3249.0,121.0
1972,53.0,1919.0,2,1,12.0,37226.0,1.0,,1.3339,2809.0,144.0
1972,48.0,1924.0,1,1,8.0,18951.0,2.0,,1.3339,2304.0,64.0
1972,38.0,1934.0,1,1,10.0,37226.0,1.0,,0.8893,1444.0,100.0
1972,61.0,1911.0,2,1,8.0,13537.0,2.0,,0.8893,3721.0,64.0
1972,47.0,1925.0,1,2,3.0,13537.0,1.0,,2.6679,2209.0,9.0
1972,61.0,1911.0,2,1,7.0,13537.0,1.0,,0.8893,3721.0,49.0
1972,60.0,1912.0,1,1,14.0,,1.0,,1.3339,3600.0,196.0
1972,61.0,1911.0,2,1,14.0,37226.0,1.0,,0.8893,3721.0,196.0
1972,32.0,1940.0,2,1,14.0,13537.0,1.0,,0.8893,1024.0,196.0
1972,49.0,1923.0,2,1,12.0,37226.0,1.0,,0.8893,2401.0,144.0
1972,46.0,1926.0,1,1,10.0,37226.0,2.0,,0.8893,2116.0,100.0
1972,29.0,1943.0,2,1,12.0,43994.0,1.0,,0.8893,841.0,144.0
1972,22.0,1950.0,2,1,10.0,,1.0,,2.2232,484.0,100.0
1972,64.0,1908.0,2,1,11.0,18951.0,1.0,,1.7786,4096.0,121.0
1972,67.0,1905.0,2,1,8.0,8122.0,1.0,,0.8893,4489.0,64.0
1972,36.0,1936.0,2,2,12.0,30458.0,1.0,,0.8893,1296.0,144.0
1972,60.0,1912.0,1,1,12.0,30458.0,1.0,,1.3339,3600.0,144.0
1972,29.0,1943.0,1,1,19.0,30458.0,2.0,,0.8893,841.0,361.0
1972,20.0,1952.0,1,1,9.0,30458.0,1.0,,1.7786,400.0,81.0
1972,,,2,1,13.0,37226.0,,,0.8893,,169.0
1972,21.0,1951.0,2,2,14.0,37226.0,1.0,,2.2232,441.0,196.0
1972,49.0,1923.0,1,1,10.0,30458.0,2.0,,1.3339,2401.0,100.0
1972,43.0,1929.0,2,1,12.0,13537.0,1.0,,0.8893,1849.0,144.0
1972,19.0,1953.0,1,1,13.0,30458.0,1.0,,1.3339,361.0,169.0
1972,43.0,1929.0,1,1,17.0,74452.0,1.0,,0.8893,1849.0,289.0
1972,20.0,1952.0,2,1,13.0,,2.0,,0.8893,400.0,169.0
1972,35.0,1937.0,2,1,9.0,2707.0,1.0,,0.8893,1225.0,81.0
1972,63.0,1909.0,2,2,7.0,18951.0,1.0,,0.8893,3969.0,49.0
1972,19.0,1953.0,1,1,11.0,24366.0,2.0,,1.3339,361.0,121.0
1972,69.0,1903.0,1,1,15.0,18951.0,2.0,,0.8893,4761.0,225.0
1972,43.0,1929.0,2,1,12.0,13537.0,1.0,,0.8893,1849.0,144.0
1972,42.0,1930.0,2,1,12.0,30458.0,2.0,,0.8893,1764.0,144.0
1972,48.0,1924.0,1,2,14.0,30458.0,1.0,,0.8893,2304.0,196.0
1972,48.0,1924.0,2,1,8.0,24366.0,1.0,,0.8893,2304.0,64.0
1972,54.0,1918.0,1,2,14.0,13537.0,2.0,,0.8893,2916.0,196.0
1972,22.0,1950.0,1,1,16.0,,1.0,,3.5571,484.0,256.0
1972,59.0,1913.0,2,2,4.0,13537.0,2.0,,0.8893,3481.0,16.0
1972,45.0,1927.0,1,1,12.0,50763.0,2.0,,1.3339,2025.0,144.0
1972,74.0,1898.0,2,1,8.0,8122.0,1.0,,0.4446,5476.0,64.0
1972,22.0,1950.0,2,1,14.0,60915.0,1.0,,0.8893,484.0,196.0
1972,67.0,1905.0,1,1,7.0,18951.0,1.0,,1.7786,4489.0,49.0
1972,45.0,1927.0,2,2,9.0,,1.0,,0.8893,2025.0,81.0
1972,36.0,1936.0,1,1,15.0,,1.0,,0.8893,1296.0,225.0
1972,36.0,1936.0,1,1,8.0,30458.0,,,0.8893,1296.0,64.0
1972,26.0,1946.0,1,1,12.0,37226.0,1.0,,0.8893,676.0,144.0
1972,65.0,1907.0,1,1,9.0,13537.0,1.0,,0.8893,4225.0,81.0
1972,47.0,1925.0,1,1,19.0,109355.0,1.0,,1.3339,2209.0,361.0
1972,30.0,1942.0,2,2,12.0,18951.0,1.0,,0.8893,900.0,144.0
1972,55.0,1917.0,2,2,11.0,8122.0,1.0,,0.8893,3025.0,121.0
1972,42.0,1930.0,2,1,11.0,2707.0,1.0,,0.4446,1764.0,121.0
1972,60.0,1912.0,2,1,8.0,50763.0,,,1.7786,3600.0,64.0
1972,26.0,1946.0,1,1,16.0,74452.0,1.0,,1.3339,676.0,256.0
1972,30.0,1942.0,1,1,13.0,60915.0,1.0,,0.8893,900.0,169.0
1972,63.0,1909.0,1,1,16.0,74452.0,,,0.8893,3969.0,256.0
1972,59.0,1913.0,2,1,12.0,37226.0,1.0,,1.7786,3481.0,144.0
1972,29.0,1943.0,1,2,14.0,24366.0,1.0,,0.8893,841.0,196.0
1972,20.0,1952.0,2,1,13.0,37226.0,1.0,,0.8893,400.0,169.0
